ID#,Hostname,Location,NetID,Serial Number,Manufacturer,Model,Operating System,IP Address,MAC Address
109,Micro-FA5-STA03,Daimler Test,,                             , I N T E L R                 , A W R D A C P I     ,Windows XP,10.207.134.113,00-0B-AB-3E-14-AD
110,WINDOWS-5CS8U98,Heatsink,windows-5cs8u98\microbase,T o   b e   f i l l e d   b y   O . E . M .     , T o   b e   f i l l e d   b y   O . E . M .     , T o   b e   f i l l e d   b y   O . E . M .     ,Windows 7,10.207.132.41 ,00-0B-AB-C9-06-EE|00-0B-AB-CB-07-EA
111,WINDOWS-FIB52KU,Heatsink,windows-fib52ku\microbase, T o   b e   f i l l e d   b y   O . E . M .     , T o   b e   f i l l e d   b y   O . E . M .     , T o   b e   f i l l e d   b y   O . E . M .     ,Windows 7,10.207.132.42 ,00-0B-AB-C9-0B-7F|00-0B-AB-CB-06-0D
112,LW-INSPECT-1,Heatsink,lw-inspect-1\microbase, C 8 P T A S 0 0 2 5 3 1     , A S U S T e K   C o m p u t e r   I N C .     , E T 2 0 1 2 E     ,Windows 7,10.207.136.43 ,30-85-A9-10-40-FC
113,LASER-WELDER-4,Heatsink,laser-welder-4\operator,                             , _                           , _             ,Windows 7,10.207.136.41|192.6.94.1|172.16.240.1|192.168.3.1 ,00-00-00-00-00-01|A0-36-9F-87-56-71|A0-36-9F-87-56-70|00-07-B8-DF-D9-0D
114,LASER-WELDER-3,Heatsink,laser-welder-3\operator,                             , _                           , _             ,Windows 7,10.207.128.103|192.6.94.10|172.16.239.1|192.168.3.10 ,00-07-B8-E0-3F-7E|68-05-CA-39-9A-DF|68-05-CA-39-9A-DE|00-07-B8-E0-3F-7F
115,LW-INSPECT-2,Heatsink,lw-inspect-2\lw-inspect-2, B 9 B 4 P Y 2               , D e l l   I n c .           , O p t i P l e x   3 0 6 0     ,Windows 10,10.207.136.42 ,E4-54-E8-63-FB-9C
116,LASER-WELDER-2,Heatsink,laser-welder-2\operator,                             , _                           , _             ,Windows 7,192.6.94.10|192.168.0.1|10.207.128.26,68-05-CA-3A-38-C9|00-07-B8-E0-3F-3B|68-05-CA-3A-38-C8|00-07-B8-E0-3F-3A
117,LW-HS-PRESS-2,Heatsink,lw-hs-press-2\microbase, T o   b e   f i l l e d   b y   O . E . M .     , T o   b e   f i l l e d   b y   O . E . M .     , T o   b e   f i l l e d   b y   O . E . M .     ,Windows 7,10.207.136.34 ,00-0B-AB-E2-52-95|00-0B-AB-E4-67-F3
118,LW-HS-PRESS-1,Heatsink,lw-hs-press-1\microbase, T o   b e   f i l l e d   b y   O . E . M .     , T o   b e   f i l l e d   b y   O . E . M .     , T o   b e   f i l l e d   b y   O . E . M .     ,Windows 7,10.207.136.33 ,00-0B-AB-D3-A0-D4|00-0B-AB-D7-BF-2D
119,LASER-WELDER-1,Heatsink,laser-welder-1\operator, 3 4 G 3 D X 1               , D e l l   I n c .           , O p t i P l e x   9 0 1 0     ,Windows 7,192.168.100.5|172.16.239.1|192.6.94.10|10.207.128.36 ,B4-96-91-68-BE-13|B4-96-91-68-BE-12|B4-96-91-68-BE-11|B4-96-91-68-BE-10|00-50-B6-0E-9E-4E|B8-CA-3A-75-BE-2B
120,WINDOWS-RE8PR9U,Heatsink,windows-re8pr9u\microbase, T o   b e   f i l l e d   b y   O . E . M .     , A d v a n t e c h           , P P C - 3 1 x 0 S     ,Windows 7,10.207.136.201 ,C4-00-AD-28-8F-87|C4-00-AD-28-8F-88
121,microbaseVXDYH,Heatsink,microbasevxdyh\microbase, D 7 P T B X 0 1 3 1 4 0     , A S U S T e K   C o m p u t e r   I N C .     , E T 2 0 1 3 I     ,Windows 7,10.207.136.124 ,24-0A-64-18-2C-ED|AC-22-0B-53-BA-C4
122,User-PC204,Heatsink,user-pc204\administrator, T o   b e   f i l l e d   b y   O . E . M .     , T o   b e   f i l l e d   b y   O . E . M .     , T o   b e   f i l l e d   b y   O . E . M .     ,Windows 7,10.207.136.149 ,00-0B-AB-42-D9-B1|00-0B-AB-42-D9-B2
123,User-PC204,Heatsink,user-pc204\administrator, T o   b e   f i l l e d   b y   O . E . M .     , T o   b e   f i l l e d   b y   O . E . M .     , T o   b e   f i l l e d   b y   O . E . M .     ,Windows 7,10.207.136.149 ,00-0B-AB-42-D9-B1|00-0B-AB-42-D9-B3
124,WINDOWS-I2IQ8LA,Heatsink,windows-i2iq8la\microbase, T o   b e   f i l l e d   b y   O . E . M .     , A d v a n t e c h           , P P C - 3 1 x 0 S     ,Windows 7,10.207.136.126 ,00-0B-AB-CE-74-5F|00-0B-AB-CE-74-60
125,MB-RTH3,Heatsink,mb-rth3\microbase, T o   b e   f i l l e d   b y   O . E . M .     , T o   b e   f i l l e d   b y   O . E . M .     , T o   b e   f i l l e d   b y   O . E . M .     ,Windows 7,10.207.136.125 ,00-0B-AB-B9-D7-8E|00-0B-AB-B9-D7-8D
126,VP1-SCAN-STN,Heatsink,vp1-scan-stn\heatsinkcheck, B T 6 0 N D 2               , D e l l   I n c .           , O p t i P l e x   3 0 4 0     ,Windows 10,10.207.136.160 ,18-66-DA-43-A0-9E
127,VIPER-PLACE-1,Heatsink,, 0 1 2 3 4 5 6 7 8 9         , P h o e n i x A w a r d     , 9 4 5 G M     ,Windows XP,10.207.136.159,00-80-4C-A4-82-BA
128,HS-ASSEM-1,Heatsink,, 0 1 2 3 4 5 6 7 8 9         , P h o e n i x A w a r d     , 9 4 5 G M     ,Windows XP,10.207.136.157,00-80-4C-A4-8C-31
129,VP2-SCAN-STN,Heatsink,vp2-scan-stn\delphitech, B T 7 W M D 2               , D e l l   I n c .           , O p t i P l e x   3 0 4 0     ,Windows 10,10.207.136.155 ,18-66-DA-43-A7-AD
130,VIPER-PLACE-2,Heatsink,, 0 1 2 3 4 5 6 7 8 9         , P h o e n i x A w a r d     , 9 4 5 G M     ,Windows XP,10.207.136.154,00-80-4C-A4-83-1B
131,HS-ASSEM-2,Heatsink,, 0 1 2 3 4 5 6 7 8 9         , P h o e n i x A w a r d     , 9 4 5 G M     ,Windows XP,10.207.136.152,00-80-4C-A4-83-37
132,MB-NE1RR2V,Heatsink,mb-ne1rr2v\microbase, T o   b e   f i l l e d   b y   O . E . M .     , T o   b e   f i l l e d   b y   O . E . M .     , T o   b e   f i l l e d   b y   O . E . M .     ,Windows 7,10.207.136.128 ,00-0B-AB-D2-9C-09
133,WINDOWS-EDATDSN,Heatsink,windows-edatdsn\microbase, T o   b e   f i l l e d   b y   O . E . M .     , A d v a n t e c h           , P P C - 3 1 x 0 S     ,Windows 7,10.207.136.148 ,00-0B-AB-CE-74-BD|00-0B-AB-CE-74-BE
134,MB-1BEJEKA,Heatsink,mb-1bejeka\microbase, T o   b e   f i l l e d   b y   O . E . M .     , T o   b e   f i l l e d   b y   O . E . M .     , T o   b e   f i l l e d   b y   O . E . M .     ,Windows 7,10.207.136.113 ,00-0B-AB-D2-9B-F4|00-0B-AB-D2-9B-F3
135,WINDOWS-HCHN550,Heatsink,windows-hchn550\administrator, T o   b e   f i l l e d   b y   O . E . M .     , T o   b e   f i l l e d   b y   O . E . M .     , T o   b e   f i l l e d   b y   O . E . M .     ,Windows 7,10.207.136.129 ,00-0B-AB-D2-9B-B0|00-0B-AB-D2-9B-AF
136,WINDOWS-UFRQSH4,Heatsink,windows-ufrqsh4\microbase, T o   b e   f i l l e d   b y   O . E . M .     , T o   b e   f i l l e d   b y   O . E . M .     , T o   b e   f i l l e d   b y   O . E . M .     ,Windows 7,10.207.136.112 ,00-0B-AB-A5-B4-36|00-0B-AB-A5-B4-35
137,Computer Down,Heatsink,Computer Down,Computer Down,Computer Down,Computer Down,Computer Down,Computer Down,Computer Down
138,WINDOWS-RTH5,Heatsink,windows-rth5\administrator, T o   b e   f i l l e d   b y   O . E . M .     , T o   b e   f i l l e d   b y   O . E . M .     , T o   b e   f i l l e d   b y   O . E . M .     ,Windows 7,10.207.136.17 ,00-0B-AB-8E-6D-4D|00-0B-AB-8E-6D-4E
139,WINDOWS-DSOI0HB,Heatsink,windows-dsoi0hb\microbase, T o   b e   f i l l e d   b y   O . E . M .     , T o   b e   f i l l e d   b y   O . E . M .     , T o   b e   f i l l e d   b y   O . E . M .     ,Windows 7,10.207.136.163 ,C4-00-AD-1D-E2-6A|C4-00-AD-1D-13-74
140,WINDOWS-A110FQQ,Heatsink,windows-a110fqq\microbase, T o   b e   f i l l e d   b y   O . E . M .     , A d v a n t e c h           , P P C - 3 1 x 0 S     ,Windows 7,10.207.136.37 ,C4-00-AD-45-8A-D3|C4-00-AD-45-8A-D4
141,TIM-PLACE-2,Heatsink,tim-place-2\lgs_user, 3 C R I 1 4 0 0 0 4         , H P                         , S p r o u t   P r o   b y   H P   G 2   ( L 9 . 9   A M S )     ,Windows 10,10.207.136.35 ,10-05-01-44-FB-D6|D4-6D-6D-44-33-F6|D6-6D-6D-44-33-F6
142,TIM-PLACE-1,Heatsink,tim-place-1\microbase, T o   b e   f i l l e d   b y   O . E . M .     , T o   b e   f i l l e d   b y   O . E . M .     , T o   b e   f i l l e d   b y   O . E . M .     ,Windows 7,10.207.136.161 ,00-0B-AB-B3-86-A9|00-0B-AB-B3-60-BA
143,DESKTOP-BT3YMD2,Heatsink,desktop-bt3ymd2\operator, B T 4 Z M D 2               , D e l l   I n c .           , O p t i P l e x   3 0 4 0     ,Windows 10,10.207.136.97 ,18-66-DA-43-9C-86
144,FA1-LinePull,Daimler FA,fa1-linepull\fa1_linepull, D 4 S 5 J 4 2               , D e l l   I n c .           , I n s p i r o n   2 0   M o d e l   3 0 4 3     ,Windows 10,10.207.135.104 ,48-E2-44-A3-46-AF|1A-E2-44-A3-46-AF|2A-E2-44-A3-46-AF|B8-2A-72-F5-E8-0D|48-E2-44-A3-46-B0
145,Cimple-FA1STA13,Daimler FA,, 0 1 2 3 4 5 6 7 8 9         , P h o e n i x A w a r d     , 9 4 5 G M     ,Windows XP,10.207.135.208 ,00-80-4C-A4-83-03
146,KMS-FA1-STA11MB,Daimler FA,kms-fa1-sta11mb\microbase, T o   b e   f i l l e d   b y   O . E . M .     , T o   b e   f i l l e d   b y   O . E . M .     , T o   b e   f i l l e d   b y   O . E . M .     ,Windows 7,10.207.135.87|192.168.0.100 ,00-0B-AB-D3-A0-E3|00-0B-AB-D7-BE-30
147,KMS-FA1-STA09MB,Daimler FA,kms-fa1-sta09mb\microbase, T o   b e   f i l l e d   b y   O . E . M .     , T o   b e   f i l l e d   b y   O . E . M .     , T o   b e   f i l l e d   b y   O . E . M .     ,Windows 7,192.168.0.100|10.207.134.47 ,00-0B-AB-B3-86-95|00-0B-AB-B3-60-C2
148,KMS-FA1-STA07MB,Daimler FA,kms-fa1-sta07mb\microbase, T o   b e   f i l l e d   b y   O . E . M .     , T o   b e   f i l l e d   b y   O . E . M .     , T o   b e   f i l l e d   b y   O . E . M .     ,Windows 7,10.207.135.86|192.168.0.100 ,00-0B-AB-D7-CD-30|00-0B-AB-D7-C0-54
149,R7GS013920,Daimler FA,r7gs013920\cimplecell, T o   b e   f i l l e d   b y   O . E . M .     , T o   b e   f i l l e d   b y   O . E . M .     , T o   b e   f i l l e d   b y   O . E . M .     ,Windows 7,10.207.135.95|192.168.0.10 ,00-0B-AB-D9-32-72|00-0B-AB-D9-32-71
150,KMS-FA1-STA04MB,Daimler FA,kms-fa1-sta04mb\microbase, T o   b e   f i l l e d   b y   O . E . M .     , T o   b e   f i l l e d   b y   O . E . M .     , T o   b e   f i l l e d   b y   O . E . M .     ,Windows 7,10.207.135.85|192.168.0.100 ,00-0B-AB-D7-CB-EC|00-0B-AB-D7-BB-7E
151,KMS-FA1-STA3MB,Daimler FA,kms-fa1-sta3mb\microbase, T o   b e   f i l l e d   b y   O . E . M .     , T o   b e   f i l l e d   b y   O . E . M .     , T o   b e   f i l l e d   b y   O . E . M .     ,Windows 7,192.168.0.100|10.207.133.148 ,00-0B-AB-B3-89-8F|00-0B-AB-B3-60-74
152,WINDOWS-97T24EP,Daimler FA,windows-97t24ep\microbase, T o   b e   f i l l e d   b y   O . E . M .     , T o   b e   f i l l e d   b y   O . E . M .     , T o   b e   f i l l e d   b y   O . E . M .     ,Windows 7,192.168.0.100|10.207.134.108 ,00-0B-AB-D7-D0-8C|00-0B-AB-D7-B8-3F
153,D61YR55J,Daimler FA,, 6 1 Y R 5 5 J               , D e l l   I n c .           , O p t i P l e x   7 8 0     ,Windows XP,,BC-30-5B-BF-7D-57
154,FA1-Jade-SEL,Daimler FA,fa1-jade-sel\kms floor, 4 D P 7 1 T 2               , D e l l   I n c .           , O p t i P l e x   3 0 6 0     ,Windows 10,10.207.134.241,54-BF-64-9A-4E-6A
155,DL7Z2KGC2,Daimler Sub,delphidrive\xz1dvn,,Dell Inc.,Latitude E5470,Windows 10,10.207.145.181,E4-A4-71-00-6B-9F|E6-A4-71-00-6B-9E|E4-A4-71-00-6B-9E|E4-A4-71-00-6B-A2
156,KMS-DAIM-SUB4,Daimler Sub,kms-daim-sub4\microbase, T o   b e   f i l l e d   b y   O . E . M .     , T o   b e   f i l l e d   b y   O . E . M .     , T o   b e   f i l l e d   b y   O . E . M .     ,Windows 7,10.207.135.105|192.168.0.100 ,00-0B-AB-A8-83-9A|00-0B-AB-A5-AD-6C
157,KMS-DAIM-SUB1,Daimler Sub,kms-daim-sub1\microbase, T o   b e   f i l l e d   b y   O . E . M .     , T o   b e   f i l l e d   b y   O . E . M .     , T o   b e   f i l l e d   b y   O . E . M .     ,Windows 7,10.207.133.44|192.168.0.100 ,00-0B-AB-C7-F7-47|00-0B-AB-C7-18-EA
158,DGEN4-GEL30-CC,Daimler Sub,dgen4-gel30-cc\cimplecell, T o   b e   f i l l e d   b y   O . E . M .     , T o   b e   f i l l e d   b y   O . E . M .     , T o   b e   f i l l e d   b y   O . E . M .     ,Windows 7,10.207.135.178 ,00-0B-AB-B5-4F-96|00-0B-AB-B5-4F-95
159,KMS-DAIM-SUB2,Daimler Sub,kms-daim-sub2\microbase, T o   b e   f i l l e d   b y   O . E . M .     , T o   b e   f i l l e d   b y   O . E . M .     , T o   b e   f i l l e d   b y   O . E . M .     ,Windows 7,192.168.0.100|10.207.133.54 ,00-0B-AB-B3-86-A8|00-0B-AB-B3-60-B4
160,KMS-DAIM-SUB3,Daimler Sub,kms-daim-sub3\microbase, T o   b e   f i l l e d   b y   O . E . M .     , T o   b e   f i l l e d   b y   O . E . M .     , T o   b e   f i l l e d   b y   O . E . M .     ,Windows 7,10.207.134.239|192.168.0.100 ,00-0B-AB-E1-79-14|00-0B-AB-E2-91-9B
